country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
France,78.09999847,80.09999847,80.76000214,81.11000061,82,82.12999725,82.5,82.55999756,83,83.16999817,83.81999969,84.16000366,84.5,85.27999878,85.81999969,86.12000275,86.73999786,87.31999969,87.55999756,87.16999817,87.48999786,87.29000092,87.80999756,87.94000244,85.81999969
Faroe Islands,,,,,,,,,,,,,,83.33000183,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,36.36000061,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,82.44999695,82.79000092,84.23999786,84.47000122,84.68000031,85.55999756,85.93000031,86.47000122,87.04000092,87.73000336,88.33000183,89.04000092,89.66999817,89.66000366,89.66999817,89.48000336,89.56999969,91.09999847,91.27999878,91.16000366,90.86000061,90.94000244,90.58999634,91.04000092,
Georgia,,,,,,,43.33000183,40.86000061,38.15999985,41.18999863,41.18999863,38.93000031,39.40999985,38.40000153,38.72000122,39.63000107,,,,,,,41.5,,
Ghana,,,,,,,,,,,,,,,,,,,48.36999893,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,58,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,56.52999878,59.79999924,61.02000046,62.18000031,62.41999817,63.47999954,67.26000214,67.77999878,68.16000366,70.88999939,71.83999634,72.33999634,75.62000275,76.51999664,77.25,78,78.98000336,79.48000336,79.56999969,79.83000183,79.59999847,79.01000214,79.47000122,79.62999725,
Grenada,,,76.15000153,,73.05000305,,76.62999725,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,63.33000183,,,,,64.81999969,71.83999634,74.61000061,69.69999695,74.40000153,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,60.84000015,,,,,77.62000275,,,,,,,,,,,,,,
High income,76.68462004,77.79293411,77.39993677,78.00759768,78.45219386,79.66388178,80.2574617,80.91326454,80.77412647,81.4460437,82.17846734,82.75502038,83.30628714,83.92399032,84.27103243,84.52835106,84.99992951,85.88547105,86.11362344,81.12107448,86.34824742,86.48286629,86.54899587,86.63608257,
"Hong Kong SAR, China",73,76.90000153,79.87000275,80.88999939,83.34999847,85.37000275,87.16999817,88.05000305,89.33000183,89.97000122,90.61000061,91.66000366,92.55999756,93.29000092,93.48999786,93.95999908,94.56999969,79.97000122,79.87000275,80,79.5,79.26999664,79.30000305,79.16999817,
Honduras,69.09999847,,,64.91000366,63.65000153,65.73999786,65.69000244,66.51000214,,67.62999725,64.70999908,65.86000061,68.86000061,63.43000031,67.04000092,68.06999969,,,,,,,,70.77999878,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,57.65000153,59.66999817,60.49000168,60.50999832,64.56999969,63.02999878,64.25,62.52999878,63.59000015,62.97999954,67.16999817,68.30000305,67.97000122,69.44000244,69.61000061,68.23999786,70.94000244,74.63999939,76.55999756,77.48999786,
Haiti,,,,,,,,,,,,60.29000092,,,,,,,,,,,,,
Hungary,62.25999832,,68.26999664,70.55999756,70.51000214,71.02999878,70.23999786,71.38999939,71.87999725,71.01999664,71.73000336,73.90000153,74.63999939,76.12999725,76.48000336,76.59999847,76.73000336,78.01999664,77.88999939,77.48999786,78.12999725,78.33000183,77.87999725,78.26999664,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,39.0015914,,,,,,,,,
Indonesia,30.45999908,34.18999863,36.22999954,40.13999939,39.11999893,41.74000168,40.04999924,42.61999893,38.29999924,39.34999847,38.81999969,37.29999924,,,,,,,,,,51.54999924,52.02999878,52.41999817,
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,94.01999664,,,,,95.36000061,,,,,85.02999878,,,,,
India,,,,,,,,,,,,,,14.72999954,,,,,16.96999931,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,77.81999969,79.16999817,78.62999725,78.87000275,79.81999969,79.08000183,80.90000153,82.12000275,82.52999878,83.41000366,84.80999756,85.11000061,85.26999664,86.80000305,86.93000031,87.72000122,88.31999969,89.23999786,89.83000183,90.04000092,89.91000366,89.73000336,89.88999939,89.73000336,
"Iran, Islamic Rep.",,,,,45.72000122,,,,,,,,,37.99000168,37.31000137,37.77000046,41.90999985,44,47.61000061,50.40000153,49.40999985,51.58000183,53.81999969,53.36999893,
Iraq,,,,,,,,,,,,,,,36.09999847,55.61000061,45.56000137,,,,,,,,
Iceland,80.51000214,80.87999725,81,81.41000366,81.77999878,81.63999939,78.05999756,82.62999725,85.41000366,85.51999664,85.62999725,85.98000336,85.56999969,86.08000183,87.69000244,88.84999847,89.19000244,88.52999878,89.68000031,89.76999664,90.15000153,89.55999756,89.86000061,91.08000183,90.25
Israel,82.91999817,82.5,82.44999695,83.45999908,83.68000031,84.34999847,85.45999908,85.77999878,86.36000061,86.97000122,87.41999817,87.83999634,87.48000336,87.97000122,88.44999695,88.01000214,87.79000092,88.75,88.83999634,88.81999969,89.16000366,89.66999817,90.04000092,90,89.59999847
Italy,68.33000183,69.66000366,70.33000183,70.87999725,72.01000214,72.86000061,73.40000153,74.41999817,75.11000061,75.19000244,75.95999908,76.41999817,79.04000092,79.30999756,79.93000031,80.43000031,81.26999664,82.45999908,83.12999725,83.06999969,83.55999756,83.80999756,84.19999695,84.26999664,
Jamaica,71.75,75.12000275,75.05000305,75.80000305,76.91999817,79.73999786,81.5,83.31999969,84.08000183,84.16000366,83.16999817,84.68000031,85.75,86.02999878,86.80000305,85.69000244,84.19999695,83.05999756,83.59999847,,85.51999664,85.63999939,85.73000336,86.01999664,
Jordan,,,,,,,,,,,,,80.62999725,,,,,,,,,,,,
Japan,64.98999786,66.25,67.25,68.08999634,68.75,69.33999634,70.86000061,71.66000366,72.43000031,73.44999695,74.62999725,74.93000031,76.02999878,77.13999939,77.23999786,77.59999847,78.19000244,79.61000061,80.23000336,38.56000137,80.86000061,80.55999756,80.83999634,80.61000061,81.36000061
Kazakhstan,,,,,,,,67.97000122,,56.06999969,55.61999893,55.81000137,57.61999893,57.77000046,58.25,58.27000046,59.25999832,60.43999863,61.13000107,62.27000046,63.34999847,64.52999878,,71.38999939,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,41.75999832,41.20999908,40.77000046,38.36000061,37.95999908,38.13999939,43.90999985,47.02999878,50.38000107,52.34999847,53.88999939,,,,,,59.04000092,56.02999878,53.88999939,57.27000046,
Cambodia,,,,,,14.02999973,,,,,,,,,,,,,29.06999969,,,,,,
Kiribati,,,,,,,,,95.83999634,,,,,87.80999756,,,,,65.73999786,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",54.06999969,57.38000107,59.74000168,61.65000153,63.56000137,65.73999786,66.84999847,67.76000214,68.62000275,70.13999939,71.08999634,71.91000366,72.91000366,74.44000244,75.34999847,76.23999786,77.23999786,78.66000366,78.73999786,78.81999969,79.62000275,80.23999786,80.58999634,81.06999969,81.83999634
Kuwait,,,,,,,,,,,,,,96.97000122,,,,,,,,,,,
Latin America & Caribbean (excluding high income),71.44404468,71.83563473,,72.87739445,74.80696372,74.23047029,75.33800869,74.09736438,76.9623444,75.93947677,75.36296977,75.69479863,75.53869755,75.41648297,75.34993745,75.8905754,,76.97355668,,77.22266536,78.08367775,78.09032167,78.85918034,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,45.72000122,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,59.45000076,57.45999908,62.08000183,70.55999756,69.51999664,70.48999786,70.05999756,,67.55999756,73.01000214,72.79000092,,,,,,,,,,,84.51000214,
Latin America & Caribbean,71.91278544,72.19383913,,73.28261598,75.03300858,74.52654507,75.69764233,74.53213446,77.26178392,76.26976169,75.75720621,76.08583089,75.89553551,75.78546714,75.69521187,76.28335624,,77.04600126,,77.50969588,78.28163886,78.34494171,79.12156631,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,31.64999962,26.86000061,27.62999916,34.04000092,,27.31999969,,,,24.96999931,24.73999977,23.69000053,25.77000046,32.97999954,34.36999893,25.75,36.90999985,36.33000183,38.06999969,40.20000076,40.93000031,41.75999832,42.18000031,
Lower middle income,,,,,,,,,,,,,,21.25584145,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,44.49000168,,,25.35000038,,,,,,,,,60.40000153,,,,,,,,
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,60.61999893,61.06000137,62.59000015,63.81999969,65.98999786,65.48999786,64.04000092,66.76000214,67.73000336,69.20999908,71.66000366,75.12999725,75.69999695,76.90000153,77.15000153,77.5,77.72000122,77.08000183,76.91000366,
Luxembourg,84.15000153,89.70999908,88.70999908,88.19999695,91.52999878,92.13999939,91.23999786,91.29000092,92,91.91000366,92.27999878,91.83000183,91.75,93.01999664,93.51000214,93.27999878,92.66999817,93.04000092,89.97000122,92.45999908,93.19999695,92.31999969,92.95999908,87.02999878,
Latvia,,,,,66.08000183,61.83000183,63.63999939,67.16000366,68.30000305,69.51000214,72.26999664,71.37999725,72.48999786,74.69999695,75.08999634,76.56999969,76.75,78.51000214,80.58000183,80.62000275,80.98999786,81.43000031,82.58000183,82.12999725,
"Macao SAR, China",55.25,61.65999985,64.76999664,65.20999908,67.19999695,66.55000305,65.69999695,66.05000305,69.59999847,65.62999725,68.73000336,71.05999756,73.81999969,76.68000031,81.77999878,85.55000305,87.79000092,91.33999634,92.45999908,93.51000214,94.30000305,95.06999969,95.23999786,95.11000061,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,51.16999817,52.49000168,37.47999954,49.49000168,46.31000137,48.63000107,51.52000046,54.02000046,56.08000183,58.27000046,23.86000061,24.45999908,22.84000015,22.62999916,24.06999969,24.82999992,25.18000031,,,26.31999969,27.95000076,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,40,39.47999954,40.58000183,46.34999847,48.31000137,48.22999954,55.66999817,57.54000092,58.06000137,61.88000107,63.18000031,63.54999924,64.01999664,62.27000046,61,60.75999832,
Madagascar,,,,,,,,,,,,14.64000034,,15.86999989,,,,,,,18.65999985,,,,
Maldives,,,,44.22999954,,,,,38.95999908,,,,,,56.09999847,,,,74.19000244,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,49.13630567,49.61003142,51.46831539,,,,,,,,
Mexico,,71.12000275,,74.30999756,71.98000336,69.31999969,71.41999817,69.83999634,70.69000244,71.79000092,73.01999664,74.97000122,74.90000153,75.72000122,76.22000122,76.94000244,77.37999725,79.37999725,79.45999908,79.69000244,79.62000275,79.66000366,80.58000183,79.41000366,78.95999908
Marshall Islands,,,,,,,,66.76999664,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,45.72999954,47.11000061,55.11999893,50.93000031,50.40999985,54.04000092,52.27999878,,,55.75,57.93999863,53.97000122,55.45999908,58.04999924,
Mali,,,,,,,,,,,,,55.38999939,,,,,,,,,,,,
Malta,,,,,,,,,74.56999969,77.02999878,77.81999969,80.79000092,81.83000183,82.54000092,84.48999786,86.26999664,88.62999725,87.55000305,86.5,87.05000305,88.91999817,87.90000153,89.29000092,90.72000122,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,40.32476644,41.2170496,41.36851764,,,,,,,,
Montenegro,,,,,,,,,,,,75.58999634,,81.98000336,,,80.91999817,,84.59999847,86,87.5,88.48000336,85.88999939,82.55999756,
Mongolia,,43.61000061,42.20000076,38.88000107,40.02999878,39.52999878,38.74000168,39.36000061,42.15999985,42.63000107,44.43000031,46.31999969,48.70000076,48.36999893,49.06999969,49.91999817,51.04999924,55.18999863,56.08000183,55.41999817,54.25,,59.93999863,59.90000153,
Northern Mariana Islands,,,,89.87000275,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,44.81999969,,,,,46.27999878,47.36999893,50.90999985,53.81000137,60.47000122,62.31000137,64.41000366,66.12999725,66.97000122,68.33000183,71.01000214,72.80000305,73.73999786,75.41000366,76.44000244,77.26000214,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,47.75,49.09000015,,51.77999878,53.38000107,55.95999908,56.70999908,57.81000137,57.04999924,58.27999878,61.09999847,62.13999939,64.62000275,65.43000031,65.23000336,67.26000214,68.26999664,70.95999908,70.5,71.95999908,71.48000336,71.86000061,72.11000061,72.79000092,
North America,85.53406658,86.22941206,85.95687408,86.074229,86.10080802,86.18388809,86.37953289,86.70269847,86.96931736,87.77979195,88.55677025,88.83516032,89.11656951,89.42306622,89.5891768,89.73764411,90.16627126,91.06860135,91.25292724,90.92068746,90.87256505,90.9589097,90.80868814,90.79352168,90.89141965
Namibia,,,,,,,,,63.34999847,,,,65.44000244,,,,,,,,68.01000214,63.79999924,,,
New Caledonia,,,,,87.38999939,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,50.75,,,65.26999664,,,,,,
Nicaragua,,,,,,,,,,,,72.59999847,72.77999878,72.61000061,73.80000305,,,,,,,,,,
Netherlands,81.26999664,83.90000153,85.48000336,83.84999847,80.73000336,81.58999634,82.04000092,82.08999634,81.72000122,82.80999756,80.36000061,86.77999878,85.48000336,84.87999725,85.70999908,86.91999817,86.37000275,84.87000275,84.12000275,83.77999878,84.16000366,84.66999817,85.16000366,84.87000275,
