country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,75.32299805,74.35099792,73.39600372,72.43900299,71.4469986,70.40599823,69.26899719,68.09400177,66.90000153,65.72200012,65.73799896,65.75800323,65.86499786,66.04399872,66.28299713,66.58699799,66.77300262,67.04299927,67.36699677,67.71199799,67.66600037,67.60399628,67.73899841,67.92900085,68.06900024,68.22100067,68.06400299,67.80000305
Belize,82.97200012,82.33100128,81.46600342,81.09500122,81.29399872,81.71299744,82.07499695,81.88400269,81.75800323,81.70999908,81.73500061,81.72799683,81.75900269,81.80500031,81.83399963,81.83399963,82.11399841,82.31999969,82.46700287,82.56300354,82.6210022,82.89399719,83.1740036,83.38400269,83.52700043,83.63999939,83.70600128,83.78099823
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,82.77200317,82.59700012,82.40899658,82.21099854,82.01100159,81.81300354,81.875,81.85500336,81.70700073,81.51399994,81.26499939,81.29299927,81.32900238,81.36599731,81.39600372,81.41500092,81.68699646,81.87799835,82.00299835,82.0719986,82.27300262,82.375,82.42500305,82.48799896,82.51499939,82.54199982,82.58899689,82.63800049
Brazil,85.85199738,86.12999725,86.39399719,86.05200195,85.66100311,85.26100159,83.34400177,83.68000031,83.26999664,83.18399811,82.57700348,81.95800018,82.06900024,81.79100037,82.19799805,82.43000031,81.98300171,81.5019989,81.73400116,81.52700043,80.68099976,79.77899933,79.39600372,78.90599823,78.69100189,78.51999664,78.34200287,78.15899658
Barbados,77.64900208,75.38700104,76.29199982,76.68399811,76.94000244,77.51200104,75.12000275,76.03199768,76.01899719,76.14099884,76.06800079,76.16999817,75.48200226,75.09100342,75.65699768,75.43399811,75.10600281,74.74199677,74.33399963,73.88200378,73.05200195,73.07900238,72.33000183,71.39600372,71.07499695,70.71199799,70.37599945,70.01699829
Brunei Darussalam,82.50700378,81.99099731,81.52500153,81.12400055,80.83200073,80.64099884,80.35700226,80.1969986,80.125,80.08399963,80.01300049,79.14099884,78.6969986,78.38899994,78.20400238,78.06500244,77.66400146,77.31600189,77.0739975,76.94100189,76.85299683,76.53099823,76.17099762,75.80500031,75.48000336,75.33499908,75.18800354,75.03900146
Bhutan,79.34200287,79.58399963,79.72899628,79.78099823,79.80400085,79.8710022,79.76599884,79.69799805,79.63800049,79.52899933,79.34200287,78.96199799,78.61499786,78.31300354,78.02600098,77.68499756,77.2519989,76.73500061,76.16000366,75.47399902,74.48400116,73.33399963,67.77300262,72.74299622,72.34300232,72.76999664,73.1309967,73.46499634
Botswana,80.61599731,80.55799866,80.5,80.4489975,80.41100311,80.41600037,80.33300018,80.27400208,80.2519989,80.27400208,80.34500122,80.36799622,80.43299866,80.54000092,80.68299866,80.85399628,80.83000183,80.87200165,80.92199707,80.89299774,80.99099731,81.04599762,81.07800293,81.11699677,81.14399719,81.31800079,81.4469986,81.56400299
Central African Republic,87.19799805,87.14600372,87.03600311,86.91600037,86.80500031,86.71299744,86.57700348,86.46499634,86.36299896,86.27300262,86.18800354,86.11000061,86.03199768,85.93299866,85.84700012,85.73699951,85.65599823,85.56900024,85.46600342,85.35800171,85.23200226,85.09700012,84.9509964,84.71499634,84.56900024,84.57900238,84.60099792,84.62799835
Canada,76.0019989,74.98400116,73.75900269,73.23600006,73.00099945,72.32499695,71.98999786,72.04699707,71.95600128,72.22100067,72.15599823,72.04699707,72.78600311,73.17199707,72.97499847,72.60299683,72.15699768,72.42700195,72.68099976,71.8010025,71.51799774,71.29399872,71.09999847,70.87000275,70.5019989,70.27899933,70.08799744,69.89499664
