country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DominicanRepublic,114.297,113.6374,112.9778,112.3182,111.6586,110.999,110.719,110.439,110.159,109.879,109.599,109.4194,109.2398,109.0602,108.8806,108.701,107.0856,105.4702,103.8548,102.2394,100.624,99.5292,98.4344,97.3396
Algeria,24.3,22.4138,20.5276,18.6414,16.7552,14.869,13.8312,12.7934,11.7556,10.7178,9.68,9.6814,9.6828,9.6842,9.6856,9.687,10.0358,10.3846,10.7334,11.0822,11.431,11.1112,10.7914,10.4716
EastAsia&Pacific(excludinghighincome),27.53970629,26.46246988,25.35627373,24.16736576,22.80109392,21.36313656,21.26793451,21.0440401,20.67916817,20.16211163,19.5305988,19.05105157,18.73376196,18.63184929,18.63147046,18.81886172,19.23976748,19.77061079,20.33230259,20.95730401,21.60429534,22.20650509,22.75299766,23.20656437
Early-demographicdividend,86.10329756,83.45299023,80.7888857,78.09719639,75.3806552,72.64110155,70.40053864,68.15900752,65.91943623,63.65015875,61.37556685,59.46771752,57.58251369,55.72601532,53.90006585,52.08764552,50.63373618,49.1711069,47.68594554,46.18159,44.65330348,43.17913503,41.68507412,40.17594399
EastAsia&Pacific,25.59191726,24.61506744,23.6162523,22.54357882,21.31974472,20.02698355,19.97289579,19.81292505,19.53549671,19.12311667,18.60545309,18.20778125,17.94059477,17.85714238,17.86422609,18.03342097,18.40023948,18.85764894,19.33460554,19.86653983,20.41107401,20.90767071,21.35868811,21.73890134
Europe&CentralAsia(excludinghighincome),53.58529633,51.18270501,48.77782149,46.35927963,43.93276048,41.47339376,39.47217415,37.45275386,35.43002382,33.38979151,31.34304179,31.27255713,31.22499351,31.19723919,31.17481736,31.14974749,30.71033966,30.27536889,29.81825259,29.34888131,28.87144333,27.77297532,26.6699944,25.55479919
Europe&CentralAsia,36.15338509,34.78734231,33.37581596,31.92521258,30.43893563,28.90685973,27.87005571,26.80194143,25.71441019,24.56463316,23.39791944,23.33536786,23.25254417,23.13592355,22.97923179,22.77706563,22.18192853,21.59536454,21.01850555,20.4306427,19.83670132,18.93061708,18.04526354,17.17599597
Ecuador,85.498,85.2612,85.0244,84.7876,84.5508,84.314,83.9536,83.5932,83.2328,82.8724,82.512,82.6118,82.7116,82.8114,82.9112,83.011,81.8738,80.7366,79.5994,78.4622,77.325,76.7488,76.1726,75.5964
"Egypt,ArabRep.",79.854,75.3252,70.7964,66.2676,61.7388,57.21,56.2648,55.3196,54.3744,53.4292,52.484,51.73,50.976,50.222,49.468,48.714,49.9,51.086,52.272,53.458,54.644,53.5396,52.4352,51.3308
Euroarea,13.6262719,13.16045646,12.68846463,12.20664273,11.71435358,11.21520928,11.25930447,11.29476434,11.3189786,11.32529231,11.32233269,11.12577426,10.92041915,10.71146574,10.50010664,10.29204339,9.955947753,9.619693772,9.283562625,8.94742988,8.610573514,8.236293466,7.868661584,7.511065479
Eritrea,108.178,106.1244,104.0708,102.0172,99.9636,97.91,94.805,91.7,88.595,85.49,82.385,81.1238,79.8626,78.6014,77.3402,76.079,73.0652,70.0514,67.0376,64.0238,61.01,58.3406,55.6712,53.0018
Spain,9.679,9.3544,9.0298,8.7052,8.3806,8.056,8.499,8.942,9.385,9.828,10.271,10.6534,11.0358,11.4182,11.8006,12.183,11.5352,10.8874,10.2396,9.5918,8.944,8.733,8.522,8.311
Estonia,47.089,43.7448,40.4006,37.0564,33.7122,30.368,28.9982,27.6284,26.2586,24.8888,23.519,23.3278,23.1366,22.9454,22.7542,22.563,21.2766,19.9902,18.7038,17.4174,16.131,14.8994,13.6678,12.4362
Ethiopia,117.674,117.6464,117.6188,117.5912,117.5636,117.536,115.0704,112.6048,110.1392,107.6736,105.208,100.8806,96.5532,92.2258,87.8984,83.571,80.2838,76.9966,73.7094,70.4222,67.135,63.6274,60.1198,56.6122
EuropeanUnion,21.11946785,20.38563523,19.6104296,18.77875846,17.90451491,17.00320973,16.72131299,16.44746927,16.18893761,15.9076112,15.63649346,15.55259215,15.44643013,15.30397479,15.11054385,14.87633976,14.29287901,13.73143728,13.19701032,12.66541645,12.14622014,11.55798615,10.98366382,10.41324197
Fragileandconflictaffectedsituations,107.5855542,107.0367648,106.4321674,105.7453447,105.0030434,104.2201564,103.6129456,103.0562775,102.5781878,102.1899784,101.853315,101.2098438,100.5689703,99.91149414,99.25455229,98.58536523,97.15067664,95.67546479,94.15669957,92.62318273,91.02822595,89.46725149,87.84422608,86.16719815
Finland,11.38,10.9968,10.6136,10.2304,9.8472,9.464,9.6894,9.9148,10.1402,10.3656,10.591,10.319,10.047,9.775,9.503,9.231,8.835,8.439,8.043,7.647,7.251,6.9596,6.6682,6.3768
Fiji,62.913,59.4206,55.9282,52.4358,48.9434,45.451,44.594,43.737,42.88,42.023,41.166,41.9814,42.7968,43.6122,44.4276,45.243,44.7742,44.3054,43.8366,43.3678,42.899,43.6644,44.4298,45.1952
France,10.989,10.7528,10.5166,10.2804,10.0442,9.808,10.0006,10.1932,10.3858,10.5784,10.771,10.6164,10.4618,10.3072,10.1526,9.998,9.9014,9.8048,9.7082,9.6116,9.515,9.2816,9.0482,8.8148
FaroeIslands,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia,Fed.Sts.",48.363,47.6548,46.9466,46.2384,45.5302,44.822,42.7102,40.5984,38.4866,36.3748,34.263,32.4956,30.7282,28.9608,27.1934,25.426,24.052,22.678,21.304,19.93,18.556,17.1252,15.6944,14.2636
Gabon,181.393,177.3726,173.3522,169.3318,165.3114,161.291,156.7246,152.1582,147.5918,143.0254,138.459,135.5162,132.5734,129.6306,126.6878,123.745,121.2392,118.7334,116.2276,113.7218,111.216,106.708,102.2,97.692
UnitedKingdom,30.513,30.4738,30.4346,30.3954,30.3562,30.317,29.5742,28.8314,28.0886,27.3458,26.603,26.4074,26.2118,26.0162,25.8206,25.625,24.1206,22.6162,21.1118,19.6074,18.103,16.7186,15.3342,13.9498
Georgia,68.921,67.2456,65.5702,63.8948,62.2194,60.544,58.1054,55.6668,53.2282,50.7896,48.351,48.832,49.313,49.794,50.275,50.756,49.9516,49.1472,48.3428,47.5384,46.734,43.9324,41.1308,38.3292
Ghana,103.882,100.5316,97.1812,93.8308,90.4804,87.13,85.1754,83.2208,81.2662,79.3116,77.357,76.0796,74.8022,73.5248,72.2474,70.97,70.826,70.682,70.538,70.394,70.25,68.8752,67.5004,66.1256
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,180.301,179.1144,177.9278,176.7412,175.5546,174.368,172.5512,170.7344,168.9176,167.1008,165.284,163.303,161.322,159.341,157.36,155.379,153.4778,151.5766,149.6754,147.7742,145.873,143.7726,141.6722,139.5718
"Gambia,The",153.2,149.2808,145.3616,141.4424,137.5232,133.604,130.3136,127.0232,123.7328,120.4424,117.152,116.9146,116.6772,116.4398,116.2024,115.965,115.9368,115.9086,115.8804,115.8522,115.824,114.7038,113.5836,112.4634
