country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Heavily indebted poor countries (HIPC),57.24233246,56.03049469,57.60588074,58.68867874,60.6458168,62.17093277,64.84803772,64.860466,65.8794632,66.01370239,66.81491089,69.45326996,72.6367569,73.37506866,75.94241333,77.39292145,74.8380661,76.95233917,76.52166748,77.44155884,77.00218201,77.33542633,,
Croatia,,,100,99.76400757,99.82084656,,100,100,99.49301147,100,99.79659271,,,99.92578888,99.18775177,99.61772919,100,100,99.23985291,100,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,100,99.99044037,100,100,100,98.96613312,100,100,100,100,100,100,99.67553711,99.65406799,,,99.19393921,99.58104706,99.66564941,
IBRD only,84.03725433,85.09427643,85.17962646,88.32234955,90.62238312,89.55704498,90.35438538,91.15927124,91.07542419,92.4751358,91.65951538,92.82076263,92.76933289,93.77156067,94.74435425,94.38452911,94.66947174,94.2755127,94.07505035,94.5422287,93.69171143,93.11106873,,
IDA & IBRD total,81.18986511,81.99194336,82.27436829,84.84794617,86.87333679,86.23394775,87.22637177,87.90625,87.95100403,89.18022156,88.57237244,89.68507385,89.79762268,90.55741882,91.59186554,91.35831451,91.17848206,91.13999176,90.80432129,91.39853668,90.48983002,90.01940155,,
IDA total,69.39266968,69.33181,70.39710236,71.23842621,72.26688385,73.1985321,74.84420013,,,76.87495422,77.52851105,78.9658432,80.11750793,80.59922791,82.24253082,82.43343353,80.91204071,82.23720551,81.92570496,83.14547729,82.26785278,82.27039337,,
IDA blend,,,,,,,,79.03993225,79.02391815,79.86333466,80.30927277,80.93624115,80.29367828,80.37490082,83.0275116,83.46365356,82.43995667,83.42730713,83.30281067,85.6714325,83.24600983,82.74853516,,
Indonesia,,,68.96028137,,,,,,,77.55149078,80.48075104,83.73062134,78.80534363,88.29418182,99.58965302,88.3302002,91.30564117,,84.05519867,96.64492035,91.53376007,,88.01981354,
IDA only,63.18593979,63.21761322,64.60152435,65.93547058,67.65220642,69.02716064,71.40727997,71.95016479,73.15855408,74.52366638,75.42771912,77.53190613,79.98855591,80.75700378,81.69755554,81.77190399,80.04651642,81.57881927,81.15898895,81.7455368,81.73130798,82.00680542,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,94.66748047,92.12846375,94.73468018,88.7098999,,,,,,,,91.62751007,,,91.14427948,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",92.90177917,94.17928314,,,,,,,92.73007965,92.88214874,98.49859619,98.30639648,95.97476196,94.22119904,96.0870285,96.79582977,100,96.68213654,97.75681305,97.2428894,,,,
Iraq,,,,,,,,85.44603729,,,,,,,,,,,,,,,,
Iceland,,,,,,100,99.85739899,100,99.7723999,100,99.17974091,100,100,99.67646027,100,99.67736816,100,99.86187744,100,100,,,,
Israel,,,,,,,,,,100,100,100,100,99.63894653,100,99.96334076,99.97377014,100,99.83689117,99.77529907,99.86044312,100,99.79779816,
Italy,,,100,99.65113068,100,,,93.60468292,100,100,100,100,100,100,100,100,100,99.89099884,100,99.63696289,100,100,100,
Jamaica,,,,,,,,,100,,,,,,,,,100,96.03858948,,87.76960754,90.60199738,85.98770905,
Jordan,97.42151642,97.90785217,,,,,,98.49404907,,,97.73181152,99.66023254,98.04450226,98.61097717,100,100,,,99.17814636,,,97.6399765,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,100,98.564888,99.66223907,100,99.84474945,100,100,100,99.77976227,99.82868195,100,100,99.84671021,99.65981293,99.44844818,99.98336029
Kenya,,,,,,,,,,,,,,,,,,,,,,,98.21193695,
Kyrgyz Republic,,,,,,,,97.29857635,100,100,96.93723297,98.07132721,98.18849182,100,98.66716003,99.99813843,99.53774261,99.83377075,98.06436157,99.11135101,99.5995636,99.45423889,99.49334717,
Cambodia,,,,,,,84.50357819,,83.45307922,88.77677155,88.22939301,87.39189911,86.544487,85.38391113,83.45153809,82.36598206,,82.37539673,81.34632111,80.03111267,79.14299774,76.00611115,80.01407623,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,88.64971161,,,,,,,,,,,100,99.53408051,
"Korea, Rep.",,,99.55602264,,,99.78141785,100,99.59690094,99.37203979,99.33425903,99.29502869,99.11817932,99.13774872,99.23677826,99.18585205,99.9107132,100,,99.96816254,,99.95227051,99.79812622,99.75647736,
Kuwait,,,100,,,,100,100,99.72335815,99.56864166,98.41240692,100,95.59053802,,,,,99.93598938,,98.73769379,96.96537018,,,
Latin America & Caribbean (excluding high income),89.75332642,91.68362427,91.68939209,92.29666901,92.66634369,93.09384155,94.46749878,95.31879425,95.46629333,96.62431335,96.14387512,95.49478912,95.55915833,95.63726807,95.90995026,95.64254761,96.19205475,96.15451813,96.26036072,96.01648712,96.20615387,96.20406342,,
Lao PDR,82.66464996,84.32182312,,,78.12619781,,80.72412872,80.2184906,81.29553223,85.02697754,86.75904083,85.33895111,85.22029877,83.35546875,83.33332825,83.90960693,85.14531708,84.89576721,84.62159729,86.2599411,88.27274323,91.64324188,90.20913696,
