country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,76.19141908,77.18046544,77.6596702,77.94663695,77.9537293,78.56758204,78.87762478,79.27186598,80.19484241,80.61228899,81.2960825,81.85628947,82.61478498,83.5784189,83.90818736,83.82711833,84.80397371,85.43498513,85.45287203,86.24392088,86.46355289,86.47432054,86.62306895,86.92676331,86.66988319,86.7599135,86.819428
CentralEuropeandtheBaltics,77.02412795,77.07844384,77.19123395,77.18255459,77.24266689,76.94529852,76.51181999,76.95695055,76.99597041,77.383047,77.61669506,77.85577166,77.10721918,76.85382175,76.56697033,76.04518056,75.86211681,75.32589532,74.92310701,75.13246013,75.72734738,75.85853484,76.00092511,75.9059652,75.8033835,75.81633559,75.93185173
Switzerland,69.50744079,70.4499848,71.48320492,71.11138822,70.70188669,70.68322425,72.28252404,72.62902754,74.07009846,74.75594844,74.28597115,76.34659076,77.47589187,77.75558706,78.13510302,79.23268672,79.4673789,79.35017695,81.49307639,81.92779387,80.8132894,80.69534653,81.38497865,82.65586854,83.68389894,83.74348762,83.82114699
ChannelIslands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,41.83130718,41.56165673,43.96859507,45.56570463,45.64946504,44.73786674,44.6608353,46.0655649,46.45466972,46.81506024,47.37201964,46.70915785,46.93674631,48.94825042,51.06972349,52.23966371,52.93527125,54.24486723,56.7148731,57.77515319,62.60455154,64.70212958,65.25893142,66.72032748,67.90708577,67.8797819,67.88779718
China,86.48897278,86.3935556,86.26021667,86.10692796,85.94935143,85.80624456,85.68509615,85.56970106,85.47067337,85.40511754,85.38212851,85.08003836,84.78552828,84.48211692,84.1510118,83.79678685,83.43569745,83.07380235,82.71117332,82.33992,81.95077169,81.95189247,81.91430612,81.88972976,81.81899972,81.58290189,81.34494128
Coted'Ivoire,49.46925573,50.50975919,51.58317083,52.68964839,53.82647061,54.99538607,56.21846774,57.48676536,58.80189792,59.17028329,59.55009764,59.93529162,60.3365031,60.75014319,61.17220027,61.59734699,62.00761506,62.42286538,62.83857112,63.25477312,63.67121742,63.90335442,64.13398663,64.36164235,64.58474906,64.73679538,64.87867409
Cameroon,69.53319557,71.14376664,72.77144544,74.42091778,76.10219039,77.81667438,79.55804975,80.1361224,80.71016371,81.27952241,81.83823429,82.37398802,82.90003059,83.4143101,83.91902933,84.4118886,84.89128387,85.36454942,85.83016899,86.29240644,86.75089598,86.94848385,87.12957716,87.28371817,87.48349557,87.5069313,87.53187334
"Congo,Dem.Rep.",95.28052636,95.45627969,95.70274883,96.07952033,96.1130507,96.01726415,96.0168807,96.22205678,96.31891856,96.54535105,96.89664325,97.08117979,97.12680205,97.12030644,97.11597469,97.16993792,97.27700531,97.38951875,97.52712202,97.78550785,97.90978175,98.02928301,98.14529355,98.22696786,98.31701847,98.21921258,98.1185707
"Congo,Rep.",78.73780894,79.86699376,80.98606083,82.12437127,83.2896388,84.36008863,85.41523562,86.49367053,87.51812662,88.57307918,89.52605385,90.4999947,91.44043558,92.39097137,93.30749395,94.18137349,93.91429467,94.12828887,93.99480547,93.72963969,93.32844672,93.13502029,92.88087665,92.65269062,92.34868187,92.35027535,92.34815537
Colombia,40.85296132,40.60224467,40.30596006,40.03691693,42.66181057,45.35515627,48.09977887,50.88607019,53.69707604,56.51559968,59.32338061,62.09958111,64.83151427,67.50627174,65.95595777,65.31514866,65.60481161,65.08310928,65.0865685,67.82955043,69.16704362,69.84398117,71.09246336,71.4865199,72.54506266,72.57543405,72.60484731
Comoros,33.82080816,34.27331601,34.73240961,35.19789457,35.66829717,36.14211954,36.61623622,37.09384896,37.57235633,38.05059383,38.52637426,38.99957089,39.47321576,39.94565254,40.41688532,40.88455493,41.34752226,41.81059258,42.27535796,42.74241581,43.21386145,43.47935882,43.74526367,44.01453746,44.28639639,44.49581799,44.7047699
CaboVerde,49.65903279,50.21186693,50.74076744,51.24480515,51.77127402,52.32657773,52.87738729,53.44199151,54.01346897,54.58958451,55.19245218,55.84560781,56.49801908,57.13455117,57.82172358,58.38210018,59.02871529,59.65500716,60.27189745,60.9011415,61.50937508,61.87563697,62.26080281,62.65740193,63.05027424,63.19917078,63.35252464
CostaRica,38.67917791,40.19229942,39.90479817,40.57123646,41.84548194,42.61805585,41.40800071,44.72056475,46.95144891,46.8876621,45.29710401,51.46230848,51.41893294,51.41842883,50.06764173,54.33264206,54.53395924,55.38002454,55.8289805,57.43948281,57.27761218,59.29115931,59.59489873,60.45640082,60.97854429,61.09718191,61.22414361
