SouthSudan,141.2,136.1,129.8,119.9,98.3,91.8hhhh,85.3hhhh,78.9hhhh,72.4hhhh,65.9hhh
Spain,15.1,9.7,8.1,10.3,12.2,11.4hhhh,10.7hhhh,9.9hhhh,9.2hhhh,8.4hhh
SriLanka,33.5,29.3,29.2,27.9,22.3,20.8hhhh,19.3hhhh,17.8hhhh,16.3hhhh,14.8hhh
Sudan,101.5,108,110.5,118.9,106.6,100.1hhhh,93.6hhhh,87.1hhhh,80.6hhhh,74.0hhh
Suriname,71.2,65.3,59.9,55.2,51.3,50.2hhhh,49.2hhhh,48.2hhhh,47.2hhhh,46.1hhh
Swaziland,141.8,124.8,109.4,102.4,88,84.5hhhh,81.0hhhh,77.4hhhh,73.9hhhh,70.4hhh
Sweden,11.8,11.4,7.2,6.4,6,5.9hhhh,5.9hhhh,5.8hhhh,5.7hhhh,5.7hhh
Switzerland,6.3,6.5,5.7,5.3,4.5,4.2hhhh,3.9hhhh,3.6hhhh,3.3hhhh,2.9hhh
SyrianArabRepublic,82.1,67.9,64,53.7,44.6,43.5hhhh,42.5hhhh,41.5hhhh,40.5hhhh,39.4hhh
Tajikistan,56.4,57.4,50.2,40.9,42.4,41.5hhhh,40.6hhhh,39.8hhhh,38.9hhhh,38.1hhh
Tanzania(UnitedRepublicof),146.4,139.5,133.3,132,130.4,128.1hhhh,125.7hhhh,123.3hhhh,120.9hhhh,118.6hhh
Thailand,53.2,50.2,45.7,41.9,42.4,42.9hhhh,43.3hhhh,43.7hhhh,44.2hhhh,44.6hhh
TheformerYugoslavRepublicofMacedonia,48.7,43.2,34.8,23.7,20.7,20.1hhhh,19.4hhhh,18.8hhhh,18.2hhhh,17.6hhh
Timor-Leste,54.5,59.5,71.9,70.1,65.8,62.0hhhh,58.1hhhh,54.3hhhh,50.4hhhh,46.6hhh
Togo,127,109.7,97,93.6,92.7,92.6hhhh,92.4hhhh,92.3hhhh,92.2hhhh,92.0hhh
Tonga,25.5,25.5,22.5,21.3,19,18.2hhhh,17.5hhhh,16.7hhhh,15.9hhhh,15.2hhh
TrinidadandTobago,72.1,56.1,44.3,38.4,38.1,36.8hhhh,35.5hhhh,34.1hhhh,32.8hhhh,31.5hhh
Tunisia,23.7,17.1,9.7,6.1,6,6.2hhhh,6.3hhhh,6.5hhhh,6.6hhhh,6.8hhh
Turkey,71.1,60.8,53,45.1,39.7,37.3hhhh,34.9hhhh,32.4hhhh,30.0hhhh,27.6hhh
Turkmenistan,22.3,26.4,25.4,24.4,20.9,20.0hhhh,19.1hhhh,18.2hhhh,17.3hhhh,16.4hhh
Uganda,185.5,201.3,191,172.5,149.9,142.3hhhh,134.7hhhh,127.1hhhh,119.5hhhh,111.9hhh
Ukraine,61.4,57.7,43.5,29.3,30.4,29.2hhhh,27.9hhhh,26.6hhhh,25.4hhhh,24.1hhh
